97	6	81	12
77	44	71	57
70	58	62	33
67	72	82	57
93	19	115	22
9	121	14	85
30	105	27	79
63	53	62	71
90	28	110	27
110	20	131	10
18	101	16	73
20	114	14	134
75	71	68	29
100	32	107	31
84	54	77	53
13	117	17	121
54	71	71	71
42	87	31	64
66	35	83	42
34	51	35	79
22	114	22	75
87	20	91	21
74	53	86	50
33	87	48	73
120	19	96	31
54	52	47	81
47	89	72	74
25	126	24	104
69	29	81	13
33	54	59	100
79	37	79	42
44	108	54	92
17	56	13	107
128	16	88	14
57	66	67	52
12	112	16	112
46	47	49	45
78	43	62	57
61	36	46	37
59	95	62	91
25	76	36	89
104	14	135	17
86	25	64	32
16	78	28	116
91	14	92	14
30	98	42	91
96	34	87	38
82	7	120	14
17	65	18	82
109	36	108	38
13	89	20	110
19	75	20	71
11	117	17	115
59	79	80	43
38	62	46	48
80	29	120	25
86	77	64	55
102	15	145	8
104	12	128	13
18	82	27	70
30	68	78	71
50	81	22	59
34	78	17	98
65	40	97	45
72	19	77	11
22	110	10	127
74	16	87	26
91	25	115	38
103	13	85	18
61	68	87	70
37	89	48	98
71	51	73	54
57	46	87	45
68	31	100	63
4	115	7	130
32	76	56	58
12	69	18	105
39	79	32	60
79	86	57	71
14	109	11	116
52	97	45	46
56	59	48	65
7	114	14	112
102	3	125	6
91	42	85	38
59	41	59	52
45	69	41	86
88	32	95	40
43	98	64	86
116	41	87	31
143	13	102	22
36	91	56	79
102	18	96	18
29	82	31	119
55	61	77	50
29	84	29	86
35	101	25	80
12	97	12	101
66	63	61	58
116	8	96	6
106	32	113	30
37	58	45	74
61	33	72	29
35	76	54	102
65	25	66	22
57	40	84	55
118	16	111	18
48	45	63	35
64	36	59	44
95	3	103	3
27	75	42	70
64	52	50	32
41	74	42	67
28	100	28	129
20	79	24	96
136	19	85	11
49	62	57	73
85	40	99	34
40	37	55	53
43	58	48	57
100	35	82	29
45	89	35	73
95	33	84	23
84	42	76	57
29	86	22	113
72	47	62	63
97	33	115	19
101	32	107	31
28	90	23	84
29	73	35	74
90	47	51	88
87	14	122	25
96	24	129	16
27	113	37	88
45	81	37	95
60	22	93	33
86	47	86	32
8	129	17	111
77	49	83	47
107	29	107	14
87	64	82	41
108	28	86	12
104	12	99	6
46	60	68	54
131	25	107	18
34	117	32	56
83	20	128	37
87	52	79	63
84	35	82	55
138	9	123	4
53	33	49	58
89	40	85	28
78	30	73	63
6	113	27	97
27	69	21	49
47	38	52	50
103	22	113	9
45	86	37	87
133	10	112	5
100	32	79	15
36	71	46	79
52	65	39	47
74	27	49	30
29	45	50	73
66	28	95	35
69	46	59	64
100	20	90	25
89	16	81	16
37	80	32	70
24	72	35	102
61	101	54	87
68	101	83	59
31	68	49	101
51	89	40	82
38	60	38	67
47	56	50	53
0	79	1	112
56	44	95	36
118	13	122	2
80	47	58	51
33	138	25	109
